Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t2_1,t2_2,t2_3,t2_4,t2_5,t2_6,t2_7,t3_1,t3_2,t3_3,t3_4,t3_5,t3_6,t3_7,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t6_1,t6_2,t6_3,t6_4,t6_5,t6_6,t6_7,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t7_7,
Josquin des Prez,Jos0301a-Missa_Ave_maris_stella-Kyrie.krn,1,Mass,115.651,0,0.875167497,6.26832,0.068728522,12.5,65.73,Jos0301a,1.852,5.144,2.675,0.617,2.469,1.44,4.527,5.556,1.235,4.733,1.235,1.029,0,1.029,3.498,5.761,0.617,2.881,0,0.412,0,0.617,0.823,3.086,0.617,5.144,0.412,0.412,1.852,1.029,1.235,4.938,2.263,4.733,2.263,0.412,0,0,0.823,6.584,0,3.292,5.967,0.412,0.412,0.206,1.029,3.909,0.823,
Josquin des Prez,Jos0301b-Missa_Ave_maris_stella-Gloria.krn,1,Mass,107.04,0,0.841707865,6.4944,0.079584775,15.46,56.78,Jos0301b,2.467,4.111,2.158,0.411,2.775,0.617,4.522,4.111,0.925,5.036,1.028,0.617,0,0.925,1.747,5.55,1.644,4.728,0.925,0.206,0,0.925,1.747,3.392,0.308,5.036,0.308,0.206,1.747,0.514,1.953,3.905,4.008,5.653,2.158,0.925,0,0,1.336,4.317,0.206,3.803,5.242,0.103,0.411,0.514,1.953,3.289,1.542,
Josquin des Prez,Jos0301c-Missa_Ave_maris_stella-Credo.krn,1,Mass,104.965,2,0.892217605,6.60646,0.114942529,17.26,49.59,Jos0301c,2.307,4.675,1.639,0.729,1.457,1.093,3.825,4.189,1.882,4.554,1.154,0.911,0,2.064,2.186,4.432,1.639,4.25,0.486,0,0.061,0.546,2.732,3.157,1.7,4.372,0.425,0.486,1.579,0.364,1.457,3.643,4.979,4.068,1.821,0.607,0,0,1.7,3.339,0.425,3.825,4.918,0.425,0.486,0.425,1.821,3.764,3.4,
Josquin des Prez,Jos0301d-Missa_Ave_maris_stella-Sanctus.krn,1,Mass,100.433,1,0.87499766,6.85965,0.071428571,12.59,63.66,Jos0301d,2.668,5.259,1.296,0.762,1.524,1.448,3.811,3.659,2.363,4.878,0.991,1.524,0,1.829,1.905,4.954,1.905,4.268,0.381,0.457,0.152,0.229,2.134,2.973,1.524,4.268,0.152,1.677,2.134,0.457,0.838,3.43,3.277,3.811,1.22,0.152,0.534,0,0.838,3.582,0.229,4.649,6.174,0.229,1.372,0.534,1.296,3.963,2.287,
Josquin des Prez,Jos0301e-Missa_Ave_maris_stella-Agnus.krn,1,Mass,114.189,0,0.842722457,6.38445,0.119140625,17.18,55.62,Jos0301e,1.092,5.786,1.201,1.092,1.201,2.62,3.821,5.349,0.655,4.476,0.983,0.764,0,2.074,1.965,4.039,0.546,5.022,0.109,0,0,0.764,3.275,3.712,1.201,5.022,0,1.31,1.419,0.328,1.092,4.585,1.419,5.131,1.638,0.328,0.218,0,1.747,5.022,0.328,3.712,6.223,0.218,0.328,0.218,2.511,3.384,2.074,
Josquin des Prez,Jos0302a-Missa_Da_pacem-Kyrie.krn,4,Mass,98.114,0,0.71547308,6.2824,0.128608924,15.48,56.62,Jos0302a,2.778,3.439,1.19,1.19,0,0.926,6.878,4.762,0.265,4.497,0.265,0.397,0,1.19,2.116,5.423,3.042,5.82,0.926,0.265,0.132,0.265,1.323,4.894,0.661,4.894,1.058,0.132,1.455,0.132,2.116,4.101,2.91,5.159,0.926,0.529,0.661,0.265,0.794,5.423,0.529,2.91,4.894,0.397,0.794,0.265,2.249,3.307,1.455,
Josquin des Prez,Jos0302b-Missa_Da_pacem-Gloria.krn,4,Mass,98.0676,0,0.757500748,6.61236,0.154103853,15.97,50.52,Jos0302b,3.912,3.365,1.252,0.782,0.939,1.565,4.773,3.834,1.095,3.991,0.391,0.469,0.156,1.174,1.721,4.538,3.443,5.243,0.548,0.939,0.156,0.548,1.252,3.991,2.66,4.93,0.626,0.626,1.878,0.078,2.191,3.991,3.052,5.243,0.704,0.548,0,0.235,1.33,6.025,1.487,2.66,4.851,0.548,0.861,0.078,1.878,2.191,1.252,
Josquin des Prez,Jos0302c-Missa_Da_pacem-Credo.krn,4,Mass,97.4653,4,0.783755378,6.94129,0.114080164,15.36,50.77,Jos0302c,4.352,4.299,0.849,0.69,0.637,1.008,5.255,3.981,1.221,4.087,0.425,0.425,0.159,0.955,1.805,3.662,4.034,5.202,0.265,0.637,0.212,0.637,1.062,4.299,2.335,5.202,0.318,0.372,1.539,0.212,1.699,4.14,2.813,4.618,0.743,0.318,0.212,0.106,1.38,4.883,1.911,3.609,5.414,0.265,0.637,0.053,1.752,3.503,1.805,
Josquin des Prez,Jos0302d-Missa_Da_pacem-Sanctus.krn,4,Mass,105.89,2,0.846892108,6.91655,0.109090909,18.02,51.94,Jos0302d,2.782,4.786,1.447,0.946,0.223,1.057,6.121,5.565,1.113,5.175,0.445,0.612,0.111,0.835,1.948,5.175,2.337,5.676,0.501,0.556,0,0.445,1.781,4.285,0.779,4.953,0.39,0.612,1.725,0.223,1.781,4.229,2.782,4.508,0.723,0.334,0.056,0.111,0.723,5.175,0.39,3.45,5.62,0.668,0.779,0.334,1.614,3.172,0.946,
Josquin des Prez,Jos0302e-Missa_Da_pacem-Agnus.krn,4,Mass,129.077,8,0.850924561,6.3217,0.155228758,13.62,60.65,Jos0302e,2.198,6.255,0.423,0.761,0.423,0.845,6.509,6.509,0.423,5.664,0.169,0.423,0.085,1.183,1.775,6.086,1.606,5.579,0.338,0.085,0,0.592,0.676,5.41,0.507,4.649,0.169,0.592,1.014,0.338,0.338,4.818,3.043,4.734,0.507,0.085,0,0,0.845,5.156,0.423,4.057,7.101,0.169,0.592,0.169,1.268,4.057,1.352,
