"","artist","song","link","text"
"1","Oasis","A Bell Will Ring","/o/oasis/a+bell+will+ring_10196342.html","A little space, a little time, see what it can do.  
A little faith, peace of mind, see what passes through.  
The sun will shine on you again, a bell will ring inside your head - and all
will be brand new.  
  
Come alive, come on in, here's something that you know.  
The world's as wide, as your life is thin, So entertain your goals.  
The sun will shine on you again, a bell will ring inside your head - and all
will be brand new.  
  
All will be brand new.  
  
I can tell you what you want to hear, I've been there once before.  
You pulled me through my empty nights, sleepless on your floor.  
The sun will shine on you again, a bell will ring inside your head - and all
will be brand new.  
  
And all will be brand new.  
And all will be brand new.

"
"2","Oasis","Ain't Got Nothin'","/o/oasis/aint+got+nothin_20756534.html","They got nothing on me anymore,  
They got nothing on you  
I don't care what they say anymore,  
All I want is the truth  
  
I don't feel  
To unveil,  
Here's a song,  
Sing along  
  
They got nothing from me anymore,  
I got nothing from you  
I don't care what they say anymore,  
All I want is the truth  
  
I don't feel  
To unveil,  
Here's a song,  
Sing along  
Watch my style,  
Pick a place,  
Wipe the smile  
From your face  
  
I don't feel  
To unveil,  
Here's a song,  
Sing along  
Watch my style,  
Pick a place,  
Wipe the smile  
From your face  
  
They got nothing on me anymore,  
They got nothing on you  
I don't care what they say anymore,  
All I want is the truth

"
"3","Oasis","All You Need Is Love","/o/oasis/all+you+need+is+love_20102401.html","Love, love, love  
Love, love, love  
Love, love, love  
  
There's nothing you can do that can't be done  
Nothing you can sing that can't be sung  
Nothing you can say but you can learn how the play the game  
It's easy  
  
There's nothing you can make that can't me made  
No one you can save that can't be saved  
Nothing you can do but you can learn how to be you in time  
It's easy  
  
All you need is love  
All you need is love  
All you need is love, love  
Love is all you need  
  
Love, love, love  
Love, love, love  
Love, love, love  
  
All you need is love  
All you need is love  
All you need is love, love  
Love is all you need  
  
There's nothing you can know that isn't known  
Nothing you can see that isn't shown  
No where you can be that isn't where you're meant to be  
It's easy  
  
All you need is love  
All you need is love  
All you need is love, love  
Love is all you need  
  
All you need is love  
All you need is love  
All you need is love, love  
Love is all you need  
Love is all you need  
That is all you need  
That is all you need  
That is all you need  
That is all you need

"
"4","Oasis","Cigarettes And Alcohol","/o/oasis/cigarettes+alcohol_20102325.html","Is it my imagination  
Or have I finally found something worth living for?  
I was looking for some action  
But all I found was cigarettes and alcohol  
  
You could wait for a lifetime  
To spend your days in the sunshine  
You might as well do the white line  
'Cause when it comes on top . . .  
  
You gotta make it happen!  
Is it worth the aggravation  
To find yourself a job when there's nothing worth working for?  
It's a crazy situation  
  
But all I need are cigarettes and alcohol!  
You could wait for a lifetime  
To spend your days in the sunshine  
You might as well do the white line  
  
'Cause when it comes on top...  
You gotta make it happen!

"
"5","Oasis","Cigarettes In Hell","/o/oasis/cigarettes+in+hell_10196419.html","Spend you days just walking and shopping  
Depending on how much you're luck is in  
Spend the night-life table-hopping  
And trying to keep that bag of bones in trim  
  
I don't mind not being immortal  
Cause it ain't all that as far as I can tell  
I don't mind not going to heaven  
As long as they've got cigarettes  
As long as they've got cigarettes in hell  
  
And by the time we start getting used to it  
The dope that's forming on the windowsill  
Now we know we've got ourselves into  
The cage that keeps the mice on the treadmill  
  
I don't mind not being immortal  
Cause it ain't all that as far as I can tell  
I don't mind not going to heaven  
As long as they've got cigarettes  
As long as they've got cigarettes in hell  
  
I don't mind not being immortal  
Because it ain't all that as far as I can tell  
I don't mind not going to heaven  
As long as they've got cigarettes  
As long as they've got cigarettes in hell

"
"6","Oasis","Cloudburst","/o/oasis/cloudburst_20102409.html","Wake up ! There's a new day dawning  
I think I'll take a little walk for a while  
I need shades 'cause the sun is blinding  
And I can see for miles and miles  
Then I can feel the earth beneath me  
I lie down we are as one  
And they look but they cannot find me  
I'm off heading for the sun  
  
I'm getting colder  
I feel a chill the air  
There's a change in the weather  
Here it comes again  
Now I can feel the rain  
  
The wind that brings on the change  
Is taking me over  
The wind that brings on the rain  
Is making me older  
  
Downtown the moon is shining  
I'm gonna dress me up in style  
My business everybody's minding  
I need to get away for a while  
  
I'm getting colder  
I feel a chill the air  
There's a change in the weather  
Here it comes again  
Now I can feel the rain  
  
The wind that brings on the change  
Is taking me over  
The wind that brings on the rain  
Is making me older

"
"7","Oasis","Colour My Life","/o/oasis/colour+my+life_20102410.html","If you're wondering why I've not been speaking my mind sir  
It took so long since I could call this my home  
My shapes of confusion fit holes of frustration  
And there's nothing worse then being home on your own  
  
You can colour my life  
Until it fits with your own  
You can colour my life  
Until it fits with your own  
  
I've been wondering why you've not been speaking your mind sir  
I've coloured my life and I'll make no bones  
My shapes of confusion fit holes of frustration  
You can colour my life until it fits with your own  
  
You can colour my life  
Until it fits with your own  
You can colour my life  
Until it fits with your own  
You can colour my life  
Until it fits with your own  
You can colour my life  
You can colour my life  
  
If you're wondering why I've not been speaking my mind sir  
It took so long since I could call this my home  
My shapes of confusion fit holes of frustration  
You can colour my life until it fits with your own  
  
You can colour my life  
Until it fits with your own  
You can colour my life  
Until it fits with your own  
You can colour my life  
Until it fits with your own  
You can colour my life  
You can colour my life  
  
Colour my life  
Colour my life  
Colour my life

"
"8","Oasis","Columbia","/o/oasis/columbia_20102326.html","There we were now here we are  
All this confusion nothings the same to me  
There we were now here we are  
All this confusion nothings the same to me  
  
But I can't tell you the way I feel  
Because the way I feel is oh so! new to me  
No I can't sell you the way I feel  
Because the way I feel is oh so! new to me  
  
What I heard is not what I hear  
I can see the signs but they're not very clear  
What I heard is not what I hear  
I can see the signs but they're not very clear  
  
This is confusion am I confusing you?

"
"9","Oasis","Day Tripper","/o/oasis/day+tripper_20102415.html","Got a good reason  
For taking the easy way out  
Got a good reason  
For taking the easy way out now  
  
She was a day tripper  
A one way ticket yeah  
It took me so long to find out  
But I found out  
  
She's a big teaser  
She took me half the way there  
She's a big teaser  
She took me half the way there now  
  
She was a day tripper  
A one way ticket yeah  
It took me so long to find out  
And I found out  
  
Tried to please her  
She only played one night stands  
Tried to please her  
She only played one night stands, now  
  
She was a day tripper  
A sunday driver yeah  
Took me so long to find out  
And I found out  
  
Day tripper  
Day tripper yeah  
  
Day tripper  
Day tripper yeah  
  
Day tripper

"
"10","Oasis","Devils Haircut","/o/oasis/devils+haircut_20669966.html","Something's wrong  
Cause my mind is fadin'  
And everywhere I look  
There's a dead end waiting,  
Temperature's dropping  
At the rottin' oasis  
Stealing kisses  
From the leperous faces  
  
Heads are hanging  
From the garbageman trees  
Mouthwash, jukebox, gasoline,  
Pistols are pointing  
At a poor man's pockets  
Smiling eyes  
Whippin' out of the sockets  
  
Got a devils haircut in my mind (X4)  
  
Love machines  
On the sympathy crutches  
Discount orgies  
On the dropout buses  
Hitchin' a ride  
With the bleedin' noses  
Comin' to town  
With the briefcase blues  
  
Got a devils haircut in my mind (X4)  
  
Somethin' wrong  
Cause my mind is fading  
Ghetto blastin' disintegrating  
Rock 'n' roll  
Know what I'm saying?  
Everywhere I look  
There's a devil in waiting.  
  
Got a devils haircut in my mind (X7)

"
