file,notes,barlines
island02.krn,42,11
steier01.krn,54,12
norge02.krn,41,9
island01.krn,41,21
ellas01.krn,29,9
steier03.krn,34,8
steier02.krn,42,8
norge01.krn,34,8
steier06.krn,33,7
emmenth1.krn,46,11
steier07.krn,40,12
steier05.krn,35,8
steier11.krn,136,36
emmenth2.krn,40,8
steier10.krn,72,16
steier04.krn,26,8
entlebug.krn,86,29
oberhas2.krn,66,10
eire01.krn,76,16
oberhas1.krn,116,43
brabant1.krn,24,8
siebethl.krn,147,57
suomi01.krn,45,16
vlaandr1.krn,56,14
vlaandr2.krn,88,17
steier09.krn,126,24
steier08.krn,76,16
appenzel.krn,140,27
juedisch.krn,34,16
belgium1.krn,52,21
deut5150.krn,64,16
deut5151.krn,42,7
deut5147.krn,31,8
deut5153.krn,49,10
deut5152.krn,31,8
deut5146.krn,31,8
deut5156.krn,49,10
deut5157.krn,52,16
deut5155.krn,31,8
deut5154.krn,52,16
deut5148.krn,49,10
deut5149.krn,52,16
deut4306.krn,52,16
deut4312.krn,43,10
deut4138.krn,83,18
deut4104.krn,21,9
deut4110.krn,50,14
deut4272.krn,41,11
deut4266.krn,36,9
deut4299.krn,112,28
deut4298.krn,39,9
deut4267.krn,29,12
deut4273.krn,50,20
deut4111.krn,61,20
deut4105.krn,53,19
deut4139.krn,70,24
deut4313.krn,40,12
deut4307.krn,32,16
deut4339.krn,30,8
deut4311.krn,33,14
deut4305.krn,41,12
deut4113.krn,61,18
deut4107.krn,78,18
deut4098.krn,52,14
deut4259.krn,33,12
deut4265.krn,41,10
deut4271.krn,48,10
deut4270.krn,54,12
deut4264.krn,32,10
deut4258.krn,52,19
deut4099.krn,58,16
deut4106.krn,63,16
deut4112.krn,54,16
deut4304.krn,49,18
deut4310.krn,33,8
deut4338.krn,55,24
deut4314.krn,47,13
deut4300.krn,109,28
deut4328.krn,83,30
deut4116.krn,49,13
deut4102.krn,13,4
deut4089.krn,50,13
deut4260.krn,40,10
deut4274.krn,28,10
deut4248.krn,32,8
deut4249.krn,16,4
deut4275.krn,51,7
deut4261.krn,40,10
deut4088.krn,15,6
deut4103.krn,14,5
deut4117.krn,57,26
deut4329.krn,34,16
deut4301.krn,60,18
deut4315.krn,78,39
deut4303.krn,33,9
deut4317.krn,39,9
deut4101.krn,54,19
deut4115.krn,63,18
deut4129.krn,50,15
deut4277.krn,31,8
deut4263.krn,32,8
deut4288.krn,59,14
deut4289.krn,32,12
deut4262.krn,40,10
deut4276.krn,37,10
deut4128.krn,46,14
deut4114.krn,43,19
deut4100.krn,56,20
deut4316.krn,100,32
deut4302.krn,62,18
deut4359.krn,32,8
deut4365.krn,48,17
deut4371.krn,52,16
deut4167.krn,47,16
deut4173.krn,62,21
deut4198.krn,31,10
deut4239.krn,46,20
deut4211.krn,51,21
deut4205.krn,16,6
deut4204.krn,39,11
deut4210.krn,34,10
deut4238.krn,62,32
deut4199.krn,59,16
deut4172.krn,73,20
deut4166.krn,24,6
